election_id,kind,prefecture,age_band,count,source_page
h26-12-14,candidacy,三重県,50歳～54歳,2,8
h26-12-14,candidacy,三重県,55歳～59歳,,8
h26-12-14,candidacy,三重県,60歳～64歳,5,8
h26-12-14,candidacy,三重県,65歳～69歳,2,8
h26-12-14,candidacy,三重県,70歳以上,,8
h26-12-14,candidacy,三重県,計,14,8
h26-12-14,candidacy,滋賀県,25歳～29歳,,8
h26-12-14,candidacy,滋賀県,30歳～34歳,1,8
h26-12-14,candidacy,滋賀県,35歳～39歳,2,8
h26-12-14,candidacy,滋賀県,40歳～44歳,3,8
h26-12-14,candidacy,滋賀県,45歳～49歳,1,8
h26-12-14,candidacy,滋賀県,50歳～54歳,3,8
h26-12-14,candidacy,滋賀県,55歳～59歳,1,8
h26-12-14,candidacy,滋賀県,60歳～64歳,,8
h26-12-14,candidacy,滋賀県,65歳～69歳,2,8
h26-12-14,candidacy,滋賀県,70歳以上,,8
h26-12-14,candidacy,滋賀県,計,13,8
h26-12-14,candidacy,京都府,25歳～29歳,1,8
h26-12-14,candidacy,京都府,30歳～34歳,1,8
h26-12-14,candidacy,京都府,35歳～39歳,,8
h26-12-14,candidacy,京都府,40歳～44歳,4,8
h26-12-14,candidacy,京都府,45歳～49歳,4,8
h26-12-14,candidacy,京都府,50歳～54歳,3,8
h26-12-14,candidacy,京都府,55歳～59歳,1,8
h26-12-14,candidacy,京都府,60歳～64歳,4,8
h26-12-14,candidacy,京都府,65歳～69歳,3,8
h26-12-14,candidacy,京都府,70歳以上,1,8
h26-12-14,candidacy,京都府,計,22,8
h26-12-14,candidacy,大阪府,25歳～29歳,1,8
h26-12-14,candidacy,大阪府,30歳～34歳,3,8
h26-12-14,candidacy,大阪府,35歳～39歳,5,8
h26-12-14,candidacy,大阪府,40歳～44歳,9,8
h26-12-14,candidacy,大阪府,45歳～49歳,11,8
h26-12-14,candidacy,大阪府,50歳～54歳,10,8
h26-12-14,candidacy,大阪府,55歳～59歳,5,8
h26-12-14,candidacy,大阪府,60歳～64歳,11,8
h26-12-14,candidacy,大阪府,65歳～69歳,8,8
h26-12-14,candidacy,大阪府,70歳以上,2,8
h26-12-14,candidacy,大阪府,計,65,8
h26-12-14,candidacy,兵庫県,25歳～29歳,,8
h26-12-14,candidacy,兵庫県,30歳～34歳,1,8
h26-12-14,candidacy,兵庫県,35歳～39歳,3,8
h26-12-14,candidacy,兵庫県,40歳～44歳,8,8
h26-12-14,candidacy,兵庫県,45歳～49歳,6,8
h26-12-14,candidacy,兵庫県,50歳～54歳,3,8
h26-12-14,candidacy,兵庫県,55歳～59歳,5,8
h26-12-14,candidacy,兵庫県,60歳～64歳,9,8
h26-12-14,candidacy,兵庫県,65歳～69歳,4,8
h26-12-14,candidacy,兵庫県,70歳以上,1,8
h26-12-14,candidacy,兵庫県,計,40,8
h26-12-14,candidacy,奈良県,25歳～29歳,,8
h26-12-14,candidacy,奈良県,30歳～34歳,1,8
h26-12-14,candidacy,奈良県,35歳～39歳,1,8
h26-12-14,candidacy,奈良県,40歳～44歳,3,8
h26-12-14,candidacy,奈良県,45歳～49歳,1,8
h26-12-14,candidacy,奈良県,50歳～54歳,3,8
h26-12-14,candidacy,奈良県,55歳～59歳,1,8
h26-12-14,candidacy,奈良県,60歳～64歳,1,8
h26-12-14,candidacy,奈良県,65歳～69歳,,8
h26-12-14,candidacy,奈良県,70歳以上,1,8
h26-12-14,candidacy,奈良県,計,12,8
h26-12-14,candidacy,和歌山県,25歳～29歳,,8
h26-12-14,candidacy,和歌山県,30歳～34歳,,8
h26-12-14,candidacy,和歌山県,35歳～39歳,,8
h26-12-14,candidacy,和歌山県,40歳～44歳,,8
h26-12-14,candidacy,和歌山県,45歳～49歳,1,8
h26-12-14,candidacy,和歌山県,50歳～54歳,2,8
h26-12-14,candidacy,和歌山県,55歳～59歳,1,8
h26-12-14,candidacy,和歌山県,60歳～64歳,2,8
h26-12-14,candidacy,和歌山県,65歳～69歳,1,8
h26-12-14,candidacy,和歌山県,70歳以上,1,8
h26-12-14,candidacy,和歌山県,計,8,8
h26-12-14,candidacy,鳥取県,25歳～29歳,,8
h26-12-14,candidacy,鳥取県,30歳～34歳,,8
h26-12-14,candidacy,鳥取県,35歳～39歳,1,8
h26-12-14,candidacy,鳥取県,40歳～44歳,,8
h26-12-14,candidacy,鳥取県,45歳～49歳,,8
h26-12-14,candidacy,鳥取県,50歳～54歳,3,8
h26-12-14,candidacy,鳥取県,55歳～59歳,1,8
h26-12-14,candidacy,鳥取県,60歳～64歳,,8
h26-12-14,candidacy,鳥取県,65歳～69歳,,8
h26-12-14,candidacy,鳥取県,70歳以上,,8
h26-12-14,candidacy,鳥取県,計,5,8
h26-12-14,candidacy,島根県,25歳～29歳,,8
h26-12-14,candidacy,島根県,30歳～34歳,,8
h26-12-14,candidacy,島根県,35歳～39歳,,8
h26-12-14,candidacy,島根県,40歳～44歳,1,8
h26-12-14,candidacy,島根県,45歳～49歳,,8
h26-12-14,candidacy,島根県,50歳～54歳,,8
h26-12-14,candidacy,島根県,55歳～59歳,1,8
h26-12-14,candidacy,島根県,60歳～64歳,1,8
h26-12-14,candidacy,島根県,65歳～69歳,2,8
h26-12-14,candidacy,島根県,70歳以上,1,8
h26-12-14,candidacy,島根県,計,6,8
h26-12-14,candidacy,岡山県,25歳～29歳,,8
h26-12-14,candidacy,岡山県,30歳～34歳,,8
h26-12-14,candidacy,岡山県,35歳～39歳,,8
h26-12-14,candidacy,岡山県,40歳～44歳,3,8
h26-12-14,candidacy,岡山県,45歳～49歳,2,8
h26-12-14,candidacy,岡山県,50歳～54歳,1,8
h26-12-14,candidacy,岡山県,55歳～59歳,4,8
h26-12-14,candidacy,岡山県,60歳～64歳,1,8
h26-12-14,candidacy,岡山県,65歳～69歳,2,8
h26-12-14,candidacy,岡山県,70歳以上,1,8
h26-12-14,candidacy,岡山県,計,14,8
h26-12-14,candidacy,広島県,25歳～29歳,,8
h26-12-14,candidacy,広島県,30歳～34歳,3,8
h26-12-14,candidacy,広島県,35歳～39歳,,8
h26-12-14,candidacy,広島県,40歳～44歳,3,8
h26-12-14,candidacy,広島県,45歳～49歳,3,8
h26-12-14,candidacy,広島県,50歳～54歳,3,8
h26-12-14,candidacy,広島県,55歳～59歳,3,8
h26-12-14,candidacy,広島県,60歳～64歳,4,8
h26-12-14,candidacy,広島県,65歳～69歳,2,8
h26-12-14,candidacy,広島県,70歳以上,1,8
h26-12-14,candidacy,広島県,計,22,8
h26-12-14,candidacy,山口県,25歳～29歳,1,8
h26-12-14,candidacy,山口県,30歳～34歳,,8
h26-12-14,candidacy,山口県,35歳～39歳,,8
h26-12-14,candidacy,山口県,40歳～44歳,2,8
h26-12-14,candidacy,山口県,45歳～49歳,,8
h26-12-14,candidacy,山口県,50歳～54歳,1,8
h26-12-14,candidacy,山口県,55歳～59歳,1,8
h26-12-14,candidacy,山口県,60歳～64歳,5,8
h26-12-14,candidacy,山口県,65歳～69歳,,8
h26-12-14,candidacy,山口県,70歳以上,2,8
h26-12-14,candidacy,山口県,計,12,8
h26-12-14,candidacy,徳島県,25歳～29歳,,8
h26-12-14,candidacy,徳島県,30歳～34歳,,8
h26-12-14,candidacy,徳島県,35歳～39歳,,8
h26-12-14,candidacy,徳島県,40歳～44歳,,8
h26-12-14,candidacy,徳島県,45歳～49歳,2,8
h26-12-14,candidacy,徳島県,50歳～54歳,1,8
h26-12-14,candidacy,徳島県,55歳～59歳,,8
h26-12-14,candidacy,徳島県,60歳～64歳,1,8
h26-12-14,candidacy,徳島県,65歳～69歳,1,8
h26-12-14,candidacy,徳島県,70歳以上,,8
h26-12-14,candidacy,徳島県,計,5,8
h26-12-14,candidacy,香川県,25歳～29歳,,8
h26-12-14,candidacy,香川県,30歳～34歳,,8
h26-12-14,candidacy,香川県,35歳～39歳,,8
h26-12-14,candidacy,香川県,40歳～44歳,1,8
h26-12-14,candidacy,香川県,45歳～49歳,3,8
h26-12-14,candidacy,香川県,50歳～54歳,2,8
h26-12-14,candidacy,香川県,55歳～59歳,2,8
h26-12-14,candidacy,香川県,60歳～64歳,1,8
h26-12-14,candidacy,香川県,65歳～69歳,,8
h26-12-14,candidacy,香川県,70歳以上,,8
h26-12-14,candidacy,香川県,計,9,8
h26-12-14,candidacy,愛媛県,25歳～29歳,,8
h26-12-14,candidacy,愛媛県,30歳～34歳,1,8
h26-12-14,candidacy,愛媛県,35歳～39歳,,8
h26-12-14,candidacy,愛媛県,40歳～44歳,1,8
h26-12-14,candidacy,愛媛県,45歳～49歳,2,8
h26-12-14,candidacy,愛媛県,50歳～54歳,2,8
h26-12-14,candidacy,愛媛県,55歳～59歳,2,8
h26-12-14,candidacy,愛媛県,60歳～64歳,5,8
h26-12-14,candidacy,愛媛県,65歳～69歳,1,8
h26-12-14,candidacy,愛媛県,70歳以上,,8
h26-12-14,candidacy,愛媛県,計,14,8
h26-12-14,candidacy,高知県,25歳～29歳,,8
h26-12-14,candidacy,高知県,30歳～34歳,1,8
h26-12-14,candidacy,高知県,35歳～39歳,,8
h26-12-14,candidacy,高知県,40歳～44歳,,8
h26-12-14,candidacy,高知県,45歳～49歳,,8
h26-12-14,candidacy,高知県,50歳～54歳,1,8
h26-12-14,candidacy,高知県,55歳～59歳,4,8
h26-12-14,candidacy,高知県,60歳～64歳,1,8
h26-12-14,candidacy,高知県,65歳～69歳,,8
h26-12-14,candidacy,高知県,70歳以上,,8
h26-12-14,candidacy,高知県,計,7,8
h26-12-14,candidacy,福岡県,25歳～29歳,,8
h26-12-14,candidacy,福岡県,30歳～34歳,2,8
h26-12-14,candidacy,福岡県,35歳～39歳,1,8
h26-12-14,candidacy,福岡県,40歳～44歳,9,8
h26-12-14,candidacy,福岡県,45歳～49歳,3,8
h26-12-14,candidacy,福岡県,50歳～54歳,8,8
h26-12-14,candidacy,福岡県,55歳～59歳,3,8
h26-12-14,candidacy,福岡県,60歳～64歳,1,8
h26-12-14,candidacy,福岡県,65歳～69歳,6,8
h26-12-14,candidacy,福岡県,70歳以上,2,8
h26-12-14,candidacy,福岡県,計,35,8
h26-12-14,candidacy,佐賀県,25歳～29歳,1,8
h26-12-14,candidacy,佐賀県,30歳～34歳,1,8
h26-12-14,candidacy,佐賀県,35歳～39歳,,8
h26-12-14,candidacy,佐賀県,40歳～44歳,1,8
h26-12-14,candidacy,佐賀県,45歳～49歳,1,8
h26-12-14,candidacy,佐賀県,50歳～54歳,,8
h26-12-14,candidacy,佐賀県,55歳～59歳,2,8
h26-12-14,candidacy,佐賀県,60歳～64歳,,8
h26-12-14,candidacy,佐賀県,65歳～69歳,,8
h26-12-14,candidacy,佐賀県,70歳以上,,8
h26-12-14,candidacy,佐賀県,計,6,8
h26-12-14,candidacy,長崎県,25歳～29歳,,8
h26-12-14,candidacy,長崎県,30歳～34歳,1,8
h26-12-14,candidacy,長崎県,35歳～39歳,,8
h26-12-14,candidacy,長崎県,40歳～44歳,,8
h26-12-14,candidacy,長崎県,45歳～49歳,2,8
h26-12-14,candidacy,長崎県,50歳～54歳,2,8
h26-12-14,candidacy,長崎県,55歳～59歳,,8
h26-12-14,candidacy,長崎県,60歳～64歳,1,8
h26-12-14,candidacy,長崎県,65歳～69歳,6,8
h26-12-14,candidacy,長崎県,70歳以上,1,8
h26-12-14,candidacy,長崎県,計,13,8
h26-12-14,candidacy,熊本県,25歳～29歳,1,8
h26-12-14,candidacy,熊本県,30歳～34歳,,8
h26-12-14,candidacy,熊本県,35歳～39歳,,8
h26-12-14,candidacy,熊本県,40歳～44歳,,8
h26-12-14,candidacy,熊本県,45歳～49歳,1,8
h26-12-14,candidacy,熊本県,50歳～54歳,2,8
h26-12-14,candidacy,熊本県,55歳～59歳,4,8
h26-12-14,candidacy,熊本県,60歳～64歳,2,8
h26-12-14,candidacy,熊本県,65歳～69歳,,8
h26-12-14,candidacy,熊本県,70歳以上,2,8
h26-12-14,candidacy,熊本県,計,12,8
h26-12-14,candidacy,大分県,25歳～29歳,,8
h26-12-14,candidacy,大分県,30歳～34歳,,8
h26-12-14,candidacy,大分県,35歳～39歳,1,8
h26-12-14,candidacy,大分県,40歳～44歳,,8
h26-12-14,candidacy,大分県,45歳～49歳,3,8
h26-12-14,candidacy,大分県,50歳～54歳,,8
h26-12-14,candidacy,大分県,55歳～59歳,3,8
h26-12-14,candidacy,大分県,60歳～64歳,1,8
h26-12-14,candidacy,大分県,65歳～69歳,,8
h26-12-14,candidacy,大分県,70歳以上,1,8
h26-12-14,candidacy,大分県,計,9,8
h26-12-14,candidacy,宮崎県,25歳～29歳,,8
h26-12-14,candidacy,宮崎県,30歳～34歳,,8
h26-12-14,candidacy,宮崎県,35歳～39歳,2,8
h26-12-14,candidacy,宮崎県,40歳～44歳,,8
h26-12-14,candidacy,宮崎県,45歳～49歳,1,8
h26-12-14,candidacy,宮崎県,50歳～54歳,3,8
h26-12-14,candidacy,宮崎県,55歳～59歳,1,8
h26-12-14,candidacy,宮崎県,60歳～64歳,,8
h26-12-14,candidacy,宮崎県,65歳～69歳,1,8
h26-12-14,candidacy,宮崎県,70歳以上,,8
