election_id,tier,scope,block,prefecture,electors_male,electors_female,electors_total,voters_male,voters_female,voters_total,abstainers_male,abstainers_female,abstainers_total,source_page
h26-12-14,smd,all,,徳島県,303205,340807,644012,146136,157963,304099,157069,182844,339913,9
h26-12-14,smd,all,,香川県,389671,430253,819924,200642,213936,414578,189029,216317,405346,9
h26-12-14,smd,all,,愛媛県,545919,627438,1173357,276184,308150,584334,269735,319288,589023,9
h26-12-14,smd,all,,高知県,287687,334304,621991,145893,171199,317092,141794,163105,304899,9
h26-12-14,smd,all,,福岡県,1922101,2202968,4125069,946209,1067129,2013338,975892,1135839,2111731,9
h26-12-14,smd,all,,佐賀県,316538,364397,680935,184505,208856,393361,132033,155541,287574,9
h26-12-14,smd,all,,長崎県,530309,622234,1152543,276872,312369,589241,253437,309865,563302,9
h26-12-14,smd,all,,熊本県,684069,791199,1475268,349672,388774,738446,334397,402425,736822,9
h26-12-14,smd,all,,大分県,454396,520176,974572,257540,289256,546796,196856,230920,427776,9
h26-12-14,smd,all,,宮崎県,427771,494248,922019,215338,244367,459705,212433,249881,462314,9
h26-12-14,smd,all,,鹿児島県,635761,741629,1377390,328550,366681,695231,307211,374948,682159,9
h26-12-14,smd,all,,沖縄県,538838,570018,1108856,284973,295635,580608,253865,274383,528248,9
h26-12-14,smd,all,,合計,50180629,53782155,103962784,26927459,27815628,54743087,23253170,25966527,49219697,9
h26-12-14,smd,overseas,,北海道,1095,1499,2594,172,203,375,923,1296,2219,11
h26-12-14,smd,overseas,,青森県,167,320,487,25,32,57,142,288,430,11
h26-12-14,smd,overseas,,岩手県,244,359,603,44,30,74,200,329,529,11
h26-12-14,smd,overseas,,宮城県,455,660,1115,65,67,132,390,593,983,11
h26-12-14,smd,overseas,,秋田県,178,258,436,22,32,54,156,226,382,11
h26-12-14,smd,overseas,,山形県,268,348,616,32,34,66,236,314,550,11
h26-12-14,smd,overseas,,福島県,632,740,1372,73,68,141,559,672,1231,11
h26-12-14,smd,overseas,,茨城県,782,858,1640,175,138,313,607,720,1327,11
h26-12-14,smd,overseas,,栃木県,587,589,1176,99,93,192,488,496,984,11
h26-12-14,smd,overseas,,群馬県,505,618,1123,73,75,148,432,543,975,11
h26-12-14,smd,overseas,,埼玉県,2587,2670,5257,603,524,1127,1984,2146,4130,11
h26-12-14,smd,overseas,,千葉県,3013,2925,5938,782,584,1366,2231,2341,4572,11
h26-12-14,smd,overseas,,東京都,12123,12801,24924,3461,2790,6251,8662,10011,18673,11
h26-12-14,smd,overseas,,神奈川県,5936,5780,11716,1512,1044,2556,4424,4736,9160,11
h26-12-14,smd,overseas,,新潟県,392,642,1034,72,89,161,320,553,873,11
h26-12-14,smd,overseas,,富山県,258,269,527,36,30,66,222,239,461,11
h26-12-14,smd,overseas,,石川県,173,275,448,29,35,64,144,240,384,11
h26-12-14,smd,overseas,,福井県,152,176,328,27,22,49,125,154,279,11
h26-12-14,smd,overseas,,山梨県,278,332,610,37,38,75,241,294,535,11
h26-12-14,smd,overseas,,長野県,726,797,1523,105,94,199,621,703,1324,11
h26-12-14,smd,overseas,,岐阜県,414,534,948,70,83,153,344,451,795,11
h26-12-14,smd,overseas,,静岡県,1266,1302,2568,234,183,417,1032,1119,2151,11
h26-12-14,smd,overseas,,愛知県,2410,2275,4685,432,352,784,1978,1923,3901,11
h26-12-14,smd,overseas,,三重県,480,517,997,71,91,162,409,426,835,11
h26-12-14,smd,overseas,,滋賀県,427,388,815,81,70,151,346,318,664,11
h26-12-14,smd,overseas,,京都府,775,931,1706,165,192,357,610,739,1349,11
h26-12-14,smd,overseas,,大阪府,2279,2720,4999,510,480,990,1769,2240,4009,11
