election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,東京都,日本共産党,685251.063,243053,928304.063,27
h26-12-14,東京都,次世代の党,183826,8688,192514,27
h26-12-14,東京都,社会民主党,,,,27
h26-12-14,東京都,生活の党,9663,40067,49730,27
h26-12-14,神奈川県,日本共産党,412988,96283,509271,27
h26-12-14,神奈川県,次世代の党,126682,,126682,27
h26-12-14,神奈川県,社会民主党,,,,27
h26-12-14,神奈川県,生活の党,43116,,43116,27
h26-12-14,新潟県,日本共産党,69635,12315,81950,27
h26-12-14,新潟県,次世代の党,,,,27
h26-12-14,新潟県,社会民主党,11801,,11801,27
h26-12-14,新潟県,生活の党,,47420,47420,27
h26-12-14,富山県,日本共産党,53071,,53071,27
h26-12-14,富山県,次世代の党,,,,27
h26-12-14,富山県,社会民主党,23350,,23350,27
h26-12-14,富山県,生活の党,,,,27
h26-12-14,石川県,日本共産党,45609,7726,53335,27
h26-12-14,石川県,次世代の党,,,,27
h26-12-14,石川県,社会民主党,,,,27
h26-12-14,石川県,生活の党,,,,27
h26-12-14,福井県,日本共産党,9941,15561,25502,27
h26-12-14,福井県,次世代の党,,,,27
h26-12-14,福井県,社会民主党,,,,27
h26-12-14,福井県,生活の党,,,,27
h26-12-14,山梨県,日本共産党,14578,29125,43703,27
h26-12-14,山梨県,次世代の党,,,,27
h26-12-14,山梨県,社会民主党,,,,27
h26-12-14,山梨県,生活の党,,,,27
h26-12-14,長野県,日本共産党,101924,27947,129871,27
h26-12-14,長野県,次世代の党,12888,,12888,27
h26-12-14,長野県,社会民主党,,,,27
h26-12-14,長野県,生活の党,,,,27
h26-12-14,岐阜県,日本共産党,91908,22647,114555,27
h26-12-14,岐阜県,次世代の党,,,,27
h26-12-14,岐阜県,社会民主党,,,,27
h26-12-14,岐阜県,生活の党,,,,27
h26-12-14,静岡県,日本共産党,84280,56660,140940,27
h26-12-14,静岡県,次世代の党,,,,27
h26-12-14,静岡県,社会民主党,,,,27
h26-12-14,静岡県,生活の党,,,,27
h26-12-14,愛知県,日本共産党,297774,32607,330381,27
h26-12-14,愛知県,次世代の党,23637,,23637,27
h26-12-14,愛知県,社会民主党,5076,,5076,27
h26-12-14,愛知県,生活の党,,,,27
h26-12-14,三重県,日本共産党,78741,21785,100526,27
h26-12-14,三重県,次世代の党,,,,27
h26-12-14,三重県,社会民主党,,,,27
h26-12-14,三重県,生活の党,,,,27
h26-12-14,滋賀県,日本共産党,49590,14163,63753,27
h26-12-14,滋賀県,次世代の党,,,,27
h26-12-14,滋賀県,社会民主党,,,,27
h26-12-14,滋賀県,生活の党,,,,27
h26-12-14,京都府,日本共産党,167410,26655,194065,27
h26-12-14,京都府,次世代の党,,,,27
h26-12-14,京都府,社会民主党,,,,27
h26-12-14,京都府,生活の党,,,,27
h26-12-14,大阪府,日本共産党,284242,319514,603756,27
h26-12-14,大阪府,次世代の党,104198.994,,104198.994,27
h26-12-14,大阪府,社会民主党,11286,,11286,27
h26-12-14,大阪府,生活の党,30792,,30792,27
h26-12-14,兵庫県,日本共産党,191750,152808,344558,27
h26-12-14,兵庫県,次世代の党,19343,24877,44220,27
h26-12-14,兵庫県,社会民主党,,,,27
h26-12-14,兵庫県,生活の党,,,,27
h26-12-14,奈良県,日本共産党,63761,12643,76404,27
h26-12-14,奈良県,次世代の党,,,,27
h26-12-14,奈良県,社会民主党,,,,27
h26-12-14,奈良県,生活の党,38781,,38781,27
h26-12-14,和歌山県,日本共産党,62702,,62702,27
h26-12-14,和歌山県,次世代の党,,,,27
h26-12-14,和歌山県,社会民主党,,,,27
h26-12-14,和歌山県,生活の党,,,,27
h26-12-14,鳥取県,日本共産党,33158,,33158,27
h26-12-14,鳥取県,次世代の党,,,,27
h26-12-14,鳥取県,社会民主党,,,,27
h26-12-14,鳥取県,生活の党,,,,27
h26-12-14,島根県,日本共産党,37958,,37958,27
h26-12-14,島根県,次世代の党,,,,27
h26-12-14,島根県,社会民主党,34558,,34558,27
h26-12-14,島根県,生活の党,,,,27
h26-12-14,岡山県,日本共産党,59976,30757,90733,27
h26-12-14,岡山県,次世代の党,73852,,73852,27
h26-12-14,岡山県,社会民主党,,,,27
h26-12-14,岡山県,生活の党,,,,27
h26-12-14,広島県,日本共産党,116087,16514,132601,27
h26-12-14,広島県,次世代の党,51149,,51149,27
h26-12-14,広島県,社会民主党,,,,27
h26-12-14,広島県,生活の党,,,,27
h26-12-14,山口県,日本共産党,42291,16890,59181,27
h26-12-14,山口県,次世代の党,,,,27
h26-12-14,山口県,社会民主党,,,,27
h26-12-14,山口県,生活の党,,,,27
h26-12-14,徳島県,日本共産党,45772,,45772,27
