election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
r06-10-27,佐賀県,れいわ新選組,,,,29
r06-10-27,佐賀県,社会民主党,,,,29
r06-10-27,長崎県,日本共産党,8679,,8679,29
r06-10-27,長崎県,国民民主党,,87784,87784,29
r06-10-27,長崎県,れいわ新選組,,,,29
r06-10-27,長崎県,社会民主党,,,,29
r06-10-27,熊本県,日本共産党,,19469,19469,29
r06-10-27,熊本県,国民民主党,,,,29
r06-10-27,熊本県,れいわ新選組,,,,29
r06-10-27,熊本県,社会民主党,,36088,36088,29
r06-10-27,大分県,日本共産党,24736,,24736,29
r06-10-27,大分県,国民民主党,,,,29
r06-10-27,大分県,れいわ新選組,,,,29
r06-10-27,大分県,社会民主党,,,,29
r06-10-27,宮崎県,日本共産党,6113,24733,30846,29
r06-10-27,宮崎県,国民民主党,61603,,61603,29
r06-10-27,宮崎県,れいわ新選組,,,,29
r06-10-27,宮崎県,社会民主党,,,,29
r06-10-27,鹿児島県,日本共産党,,12255,12255,29
r06-10-27,鹿児島県,国民民主党,,,,29
r06-10-27,鹿児島県,れいわ新選組,,,,29
r06-10-27,鹿児島県,社会民主党,43412,,43412,29
r06-10-27,沖縄県,日本共産党,49838,,49838,29
r06-10-27,沖縄県,国民民主党,,,,29
r06-10-27,沖縄県,れいわ新選組,20284.111,,20284.111,29
r06-10-27,沖縄県,社会民主党,61216,,61216,29
r06-10-27,合計,日本共産党,2282434.033,1413372.926,3695806.959,29
r06-10-27,合計,国民民主党,1729092.745,620491,2349583.745,29
r06-10-27,合計,れいわ新選組,246225.111,179220,425445.111,29
r06-10-27,合計,社会民主党,184234.429,99053,283287.429,29
r06-10-27,北海道,参政党,20097,,20097,30
r06-10-27,北海道,みんなでつくる党,,,,30
r06-10-27,青森県,参政党,,,,30
r06-10-27,青森県,みんなでつくる党,,,,30
r06-10-27,岩手県,参政党,,,,30
r06-10-27,岩手県,みんなでつくる党,,,,30
r06-10-27,宮城県,参政党,,,,30
r06-10-27,宮城県,みんなでつくる党,,,,30
r06-10-27,秋田県,参政党,,,,30
r06-10-27,秋田県,みんなでつくる党,,,,30
r06-10-27,山形県,参政党,,,,30
r06-10-27,山形県,みんなでつくる党,,,,30
r06-10-27,福島県,参政党,,,,30
r06-10-27,福島県,みんなでつくる党,,,,30
r06-10-27,茨城県,参政党,,,,30
r06-10-27,茨城県,みんなでつくる党,,,,30
r06-10-27,栃木県,参政党,,,,30
r06-10-27,栃木県,みんなでつくる党,,,,30
r06-10-27,群馬県,参政党,,,,30
r06-10-27,群馬県,みんなでつくる党,,,,30
r06-10-27,埼玉県,参政党,,,,30
r06-10-27,埼玉県,みんなでつくる党,4234,,4234,30
r06-10-27,千葉県,参政党,68301.570,33318,101619.570,30
r06-10-27,千葉県,みんなでつくる党,,,,30
r06-10-27,東京都,参政党,162968.013,132709,295677.013,30
r06-10-27,東京都,みんなでつくる党,15241,7245,22486,30
r06-10-27,神奈川県,参政党,123315,38976,162291,30
r06-10-27,神奈川県,みんなでつくる党,,,,30
r06-10-27,新潟県,参政党,,,,30
r06-10-27,新潟県,みんなでつくる党,,,,30
r06-10-27,富山県,参政党,,,,30
r06-10-27,富山県,みんなでつくる党,,,,30
r06-10-27,石川県,参政党,,,,30
r06-10-27,石川県,みんなでつくる党,,,,30
r06-10-27,福井県,参政党,,19716,19716,30
r06-10-27,福井県,みんなでつくる党,,,,30
r06-10-27,山梨県,参政党,14597,,14597,30
r06-10-27,山梨県,みんなでつくる党,,,,30
r06-10-27,長野県,参政党,,,,30
r06-10-27,長野県,みんなでつくる党,,,,30
r06-10-27,岐阜県,参政党,,,,30
r06-10-27,岐阜県,みんなでつくる党,,,,30
r06-10-27,静岡県,参政党,22486,,22486,30
r06-10-27,静岡県,みんなでつくる党,,,,30
r06-10-27,愛知県,参政党,,17234,17234,30
r06-10-27,愛知県,みんなでつくる党,,,,30
r06-10-27,三重県,参政党,,,,30
r06-10-27,三重県,みんなでつくる党,,,,30
r06-10-27,滋賀県,参政党,,26862,26862,30
r06-10-27,滋賀県,みんなでつくる党,,,,30
r06-10-27,京都府,参政党,42575,9916,52491,30
r06-10-27,京都府,みんなでつくる党,,,,30
r06-10-27,大阪府,参政党,90140,98466,188606,30
r06-10-27,大阪府,みんなでつくる党,,,,30
r06-10-27,兵庫県,参政党,92822,12011,104833,30
r06-10-27,兵庫県,みんなでつくる党,,2555,2555,30
r06-10-27,奈良県,参政党,,11366,11366,30
r06-10-27,奈良県,みんなでつくる党,,,,30
r06-10-27,和歌山県,参政党,13422,,13422,30
r06-10-27,和歌山県,みんなでつくる党,,,,30
r06-10-27,鳥取県,参政党,,,,30
r06-10-27,鳥取県,みんなでつくる党,,,,30
r06-10-27,島根県,参政党,,,,30
r06-10-27,島根県,みんなでつくる党,,,,30
r06-10-27,岡山県,参政党,,,,30
r06-10-27,岡山県,みんなでつくる党,,,,30
r06-10-27,広島県,参政党,,,,30
r06-10-27,広島県,みんなでつくる党,,,,30
r06-10-27,山口県,参政党,,,,30
r06-10-27,山口県,みんなでつくる党,,,,30
r06-10-27,徳島県,参政党,,,,30
r06-10-27,徳島県,みんなでつくる党,,,,30
r06-10-27,香川県,参政党,,9176,9176,30
r06-10-27,香川県,みんなでつくる党,,,,30
r06-10-27,愛媛県,参政党,,,,30
r06-10-27,愛媛県,みんなでつくる党,,,,30
r06-10-27,高知県,参政党,,,,30
r06-10-27,高知県,みんなでつくる党,,,,30
r06-10-27,福岡県,参政党,38785,61188,99973,30
r06-10-27,福岡県,みんなでつくる党,,,,30
