election_id,tier,scope,block,prefecture,rate_male,rate_female,rate_total,prev_rate_male,prev_rate_female,prev_rate_total,diff_male,diff_female,diff_total,source_page
r08-02-08,pr,all,北陸信越,計,59.21,56.06,57.58,58.08,55.87,56.94,1.13,0.19,0.64,15
r08-02-08,pr,all,東海,岐阜県,59.47,56.91,58.15,56.25,54.58,55.39,3.22,2.33,2.76,15
r08-02-08,pr,all,東海,静岡県,59.59,58.24,58.90,55.90,55.28,55.58,3.69,2.96,3.32,15
r08-02-08,pr,all,東海,愛知県,60.09,57.85,58.96,55.39,53.61,54.50,4.70,4.24,4.46,15
r08-02-08,pr,all,東海,三重県,58.65,57.04,57.82,56.50,55.94,56.21,2.15,1.10,1.61,15
r08-02-08,pr,all,東海,計,59.72,57.72,58.71,55.76,54.44,55.09,3.96,3.28,3.62,15
r08-02-08,pr,all,近畿,滋賀県,58.24,56.36,57.28,55.66,54.23,54.93,2.58,2.13,2.35,15
r08-02-08,pr,all,近畿,京都府,56.66,54.13,55.32,54.07,52.27,53.12,2.59,1.86,2.20,15
r08-02-08,pr,all,近畿,大阪府,56.17,56.27,56.22,52.39,52.79,52.60,3.78,3.48,3.62,15
r08-02-08,pr,all,近畿,兵庫県,56.77,55.03,55.85,54.01,53.36,53.66,2.76,1.67,2.19,15
r08-02-08,pr,all,近畿,奈良県,62.92,61.50,62.16,59.17,57.89,58.49,3.75,3.61,3.67,15
r08-02-08,pr,all,近畿,和歌山県,56.65,54.76,55.64,57.64,56.18,56.86,-0.99,-1.42,-1.22,15
r08-02-08,pr,all,近畿,計,56.99,55.96,56.45,53.93,53.47,53.69,3.06,2.49,2.76,15
r08-02-08,pr,all,中国,鳥取県,48.43,47.01,47.68,57.88,58.30,58.10,-9.45,-11.29,-10.42,15
r08-02-08,pr,all,中国,島根県,56.91,54.12,55.46,59.11,57.25,58.13,-2.20,-3.13,-2.67,15
r08-02-08,pr,all,中国,岡山県,54.48,53.22,53.82,50.25,50.22,50.23,4.23,3.00,3.59,15
r08-02-08,pr,all,中国,広島県,51.08,49.04,50.02,49.01,47.83,48.40,2.07,1.21,1.62,15
r08-02-08,pr,all,中国,山口県,56.19,56.14,56.16,52.00,52.12,52.06,4.19,4.02,4.10,15
r08-02-08,pr,all,中国,計,53.23,51.77,52.47,51.48,50.93,51.19,1.75,0.84,1.28,15
r08-02-08,pr,all,四国,徳島県,55.68,54.02,54.81,51.36,50.29,50.80,4.32,3.73,4.01,15
r08-02-08,pr,all,四国,香川県,57.35,55.85,56.57,53.36,52.54,52.93,3.99,3.31,3.64,15
r08-02-08,pr,all,四国,愛媛県,56.32,55.01,55.63,52.38,51.55,51.94,3.94,3.46,3.69,15
r08-02-08,pr,all,四国,高知県,54.20,55.59,54.94,50.80,52.99,51.97,3.40,2.60,2.97,15
r08-02-08,pr,all,四国,計,56.07,55.14,55.58,52.14,51.83,51.98,3.93,3.31,3.60,15
r08-02-08,pr,all,九州,福岡県,54.71,54.15,54.41,51.54,51.63,51.59,3.17,2.52,2.82,15
r08-02-08,pr,all,九州,佐賀県,59.80,58.17,58.94,56.44,55.59,55.99,3.36,2.58,2.95,15
r08-02-08,pr,all,九州,長崎県,57.23,56.73,56.96,52.81,52.18,52.47,4.42,4.55,4.49,15
r08-02-08,pr,all,九州,熊本県,57.30,56.16,56.70,52.63,51.56,52.06,4.67,4.60,4.64,15
r08-02-08,pr,all,九州,大分県,59.02,57.70,58.32,55.55,55.29,55.41,3.47,2.41,2.91,15
r08-02-08,pr,all,九州,宮崎県,54.02,52.79,53.36,50.91,50.35,50.61,3.11,2.44,2.75,15
r08-02-08,pr,all,九州,鹿児島県,56.11,53.83,54.90,54.22,52.84,53.49,1.89,0.99,1.41,15
r08-02-08,pr,all,九州,沖縄県,54.46,54.41,54.43,49.91,49.95,49.93,4.55,4.46,4.50,15
r08-02-08,pr,all,九州,計,55.96,55.03,55.47,52.47,52.06,52.25,3.49,2.97,3.22,15
r08-02-08,pr,all,,合計,57.12,55.44,56.25,54.30,53.42,53.84,2.82,2.02,2.41,15
r08-02-08,pr,overseas,北海道,北海道,23.09,21.40,22.03,15.32,13.46,14.17,7.77,7.94,7.86,16
r08-02-08,pr,overseas,東北,青森県,15.56,14.80,15.02,18.18,10.69,13.02,-2.62,4.11,2.00,16
r08-02-08,pr,overseas,東北,岩手県,23.20,16.00,18.57,16.34,12.57,13.97,6.86,3.43,4.60,16
r08-02-08,pr,overseas,東北,宮城県,23.69,23.19,23.37,14.21,14.33,14.29,9.48,8.86,9.08,16
r08-02-08,pr,overseas,東北,秋田県,15.38,16.87,16.30,8.33,9.47,9.04,7.05,7.40,7.26,16
r08-02-08,pr,overseas,東北,山形県,16.82,18.01,17.57,11.63,9.65,10.41,5.19,8.36,7.16,16
r08-02-08,pr,overseas,東北,福島県,12.67,12.79,12.74,9.01,8.32,8.60,3.66,4.47,4.14,16
r08-02-08,pr,overseas,東北,計,17.94,17.26,17.51,12.40,10.99,11.52,5.54,6.27,5.99,16
r08-02-08,pr,overseas,北関東,茨城県,30.32,28.46,29.22,19.58,15.84,17.41,10.74,12.62,11.81,16
r08-02-08,pr,overseas,北関東,栃木県,23.96,25.55,24.92,16.06,14.58,15.20,7.90,10.97,9.72,16
r08-02-08,pr,overseas,北関東,群馬県,28.48,22.26,24.80,17.19,11.65,13.98,11.29,10.61,10.82,16
r08-02-08,pr,overseas,北関東,埼玉県,34.13,29.67,31.54,22.86,18.66,20.43,11.27,11.01,11.11,16
r08-02-08,pr,overseas,北関東,計,31.67,28.06,29.55,20.76,16.77,18.45,10.91,11.29,11.10,16
r08-02-08,pr,overseas,南関東,千葉県,35.83,29.43,32.17,25.88,18.59,21.75,9.95,10.84,10.42,16
r08-02-08,pr,overseas,南関東,神奈川県,34.57,28.91,31.37,24.24,17.91,20.71,10.33,11.00,10.66,16
r08-02-08,pr,overseas,南関東,山梨県,17.75,20.40,19.35,11.42,11.63,11.55,6.33,8.77,7.80,16
r08-02-08,pr,overseas,南関東,計,34.45,28.78,31.22,24.35,17.89,20.71,10.10,10.89,10.51,16
r08-02-08,pr,overseas,東京都,東京都,40.30,33.00,36.16,28.91,21.52,24.73,11.39,11.48,11.43,16
r08-02-08,pr,overseas,北陸信越,新潟県,26.60,23.37,24.39,16.50,13.24,14.29,10.10,10.13,10.10,16
r08-02-08,pr,overseas,北陸信越,富山県,22.17,29.87,26.59,14.49,17.18,15.97,7.68,12.69,10.62,16
r08-02-08,pr,overseas,北陸信越,石川県,26.11,24.92,25.33,19.08,14.18,15.95,7.03,10.74,9.38,16
